#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Bac_DnaA             PF00308.18   219 MT_RS00005           -            508  1.2e-103  345.7   0.1   1   1  5.6e-107  2.5e-103  344.6   0.0     1   218   168   385   168   386 0.99 Bacterial dnaA  protein
Bac_DnaA_C           PF08299.11    69 MT_RS00005           -            508     4e-27   94.0   0.0   1   1   1.9e-30   8.4e-27   93.0   0.0     3    69   415   480   413   480 0.98 Bacterial dnaA protein helix-turn-helix
IstB_IS21            PF01695.17   178 MT_RS00005           -            508   5.4e-10   39.3   0.0   1   1   2.4e-13   1.1e-09   38.3   0.0    48   153   202   310   165   318 0.87 IstB-like ATP binding protein
AAA                  PF00004.29   132 MT_RS00005           -            508   7.8e-06   26.3   0.0   1   1   5.2e-08   0.00023   21.6   0.0     2   129   205   323   204   326 0.83 ATPase family associated with various cellular activities (AAA)
DNA_pol3_beta        PF00712.19   121 MT_RS00010           -            403   1.2e-44  151.4   0.0   1   1     3e-40   1.8e-36  124.9   0.0     2   121    14   130    13   130 0.98 DNA polymerase III beta subunit, N-terminal domain
DNA_pol3_beta_2      PF02767.16   116 MT_RS00010           -            403   6.6e-37  126.3   0.0   1   1   3.4e-37     2e-33  115.0   0.0     2   116   139   260   138   260 0.98 DNA polymerase III beta subunit, central domain
DNA_pol3_beta_3      PF02768.15   121 MT_RS00010           -            403   1.3e-34  118.6   0.0   1   1   2.2e-37   1.3e-33  115.4   0.0     1   111   262   371   262   375 0.97 DNA polymerase III beta subunit, C-terminal domain
SMC_N                PF02463.19   220 MT_RS00015           -            386   9.6e-16   57.9   0.0   1   1   2.6e-19   1.6e-15   57.2   0.0     1   196     2   353     2   360 0.94 RecF/RecN/SMC N terminal domain
AAA_23               PF13476.6    200 MT_RS00015           -            386   1.3e-07   32.3   0.0   1   1   2.9e-11   1.7e-07   31.9   0.0     2    55     6    65     5   133 0.74 AAA domain
DciA                 PF05258.12    89 MT_RS00020           -            188   1.2e-23   83.3   1.2   1   1   1.1e-27   1.9e-23   82.7   1.2     1    89    75   162    75   162 0.98 Dna[CI] antecedent, DciA
DNA_gyraseB          PF00204.25   174 MT_RS00025           -            676   4.1e-64  215.2   2.2   1   1   1.8e-67     8e-64  214.3   2.2     1   173   256   425   256   426 0.99 DNA gyrase B
DNA_gyraseB_C        PF00986.21    63 MT_RS00025           -            676   2.7e-26   91.5   0.0   1   1   1.3e-29   5.7e-26   90.5   0.0     5    62   606   663   602   664 0.96 DNA gyrase B subunit, carboxyl terminus
HATPase_c            PF02518.26   112 MT_RS00025           -            676   1.5e-20   73.7   0.0   1   1   9.6e-24   4.3e-20   72.3   0.0     3   110    39   177    37   179 0.87 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
Toprim               PF01751.22   103 MT_RS00025           -            676   3.8e-16   59.2   0.0   1   1   3.2e-19   1.4e-15   57.3   0.0     1   101   454   564   454   566 0.90 Toprim domain
DNA_topoisoIV        PF00521.20   426 MT_RS00030           -            839  2.2e-147  491.4   0.0   1   1  3.1e-151  2.8e-147  491.1   0.0     1   425    39   483    39   484 0.97 DNA gyrase/topoisomerase IV, subunit A
DNA_gyraseA_C        PF03989.13    48 MT_RS00030           -            839     3e-70  231.5  12.9   1   6   5.3e-16   4.7e-12   45.2   0.1     1    48   515   562   515   562 0.97 DNA gyrase C-terminal domain, beta-propeller
DNA_gyraseA_C        PF03989.13    48 MT_RS00030           -            839     3e-70  231.5  12.9   2   6   1.8e-12   1.6e-08   33.9   0.0     1    41   565   608   565   615 0.83 DNA gyrase C-terminal domain, beta-propeller
DNA_gyraseA_C        PF03989.13    48 MT_RS00030           -            839     3e-70  231.5  12.9   3   6   2.4e-12   2.2e-08   33.5   0.0     2    48   622   666   621   666 0.96 DNA gyrase C-terminal domain, beta-propeller
DNA_gyraseA_C        PF03989.13    48 MT_RS00030           -            839     3e-70  231.5  12.9   4   6   1.5e-14   1.3e-10   40.6   0.0     1    47   669   717   669   718 0.97 DNA gyrase C-terminal domain, beta-propeller
DNA_gyraseA_C        PF03989.13    48 MT_RS00030           -            839     3e-70  231.5  12.9   5   6   1.5e-15   1.4e-11   43.7   0.3     2    48   722   769   721   769 0.96 DNA gyrase C-terminal domain, beta-propeller
DNA_gyraseA_C        PF03989.13    48 MT_RS00030           -            839     3e-70  231.5  12.9   6   6   6.7e-14     6e-10   38.4   0.4     2    45   773   816   772   818 0.94 DNA gyrase C-terminal domain, beta-propeller
DUF3566              PF12089.8    118 MT_RS00035           -            305   4.5e-41  139.9   6.5   1   1   3.1e-45   5.6e-41  139.6   6.5     2   118   187   302   186   302 0.97 Transmembrane domain of unknown function (DUF3566)
CwsA                 PF10814.8    132 MT_RS00055           -            146   8.5e-66  220.1   6.9   1   1   5.3e-70   9.6e-66  219.9   6.9     1   132     9   145     9   145 0.99 Cell wall synthesis protein CwsA
Pro_isomerase        PF00160.21   158 MT_RS00060           -            183   3.3e-48  163.9   0.1   1   1   2.1e-52   3.7e-48  163.8   0.1     2   157    17   180    16   181 0.91 Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
bPH_6                PF10756.9     73 MT_RS00065           -            142   3.7e-22   78.2   1.2   1   1   3.2e-26   5.8e-22   77.6   1.2     1    72    58   135    58   136 0.97 Bacterial PH domain
CrgA                 PF06781.12    88 MT_RS00070           -             94   2.1e-29  101.4   4.4   1   1   1.3e-33   2.3e-29  101.3   4.4     1    88     1    93     1    93 0.94 Cell division protein CrgA
