#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Bac_DnaA             PF00308.18 MT_RS00005           -           1.2e-103  345.7   0.1  2.5e-103  344.6   0.0   1.6   2   0   0   2   2   1   1 Bacterial dnaA  protein
Bac_DnaA_C           PF08299.11 MT_RS00005           -              4e-27   94.0   0.0   8.4e-27   93.0   0.0   1.6   1   0   0   1   1   1   1 Bacterial dnaA protein helix-turn-helix
IstB_IS21            PF01695.17 MT_RS00005           -            5.4e-10   39.3   0.0   1.1e-09   38.3   0.0   1.4   1   0   0   1   1   1   1 IstB-like ATP binding protein
AAA                  PF00004.29 MT_RS00005           -            7.8e-06   26.3   0.0   0.00023   21.6   0.0   3.2   4   1   0   4   4   1   1 ATPase family associated with various cellular activities (AAA)
DNA_pol3_beta        PF00712.19 MT_RS00010           -            1.2e-44  151.4   0.0   1.8e-36  124.9   0.0   2.4   3   0   0   3   3   1   1 DNA polymerase III beta subunit, N-terminal domain
DNA_pol3_beta_2      PF02767.16 MT_RS00010           -            6.6e-37  126.3   0.0     2e-33  115.0   0.0   2.7   3   0   0   3   3   1   1 DNA polymerase III beta subunit, central domain
DNA_pol3_beta_3      PF02768.15 MT_RS00010           -            1.3e-34  118.6   0.0   1.3e-33  115.4   0.0   2.3   2   0   0   2   2   1   1 DNA polymerase III beta subunit, C-terminal domain
SMC_N                PF02463.19 MT_RS00015           -            9.6e-16   57.9   0.0   1.6e-15   57.2   0.0   1.3   1   1   0   1   1   1   1 RecF/RecN/SMC N terminal domain
AAA_23               PF13476.6  MT_RS00015           -            1.3e-07   32.3   0.0   1.7e-07   31.9   0.0   1.2   1   0   0   1   1   1   1 AAA domain
AAA_21               PF13304.6  MT_RS00015           -            2.6e-06   27.5   0.2   0.00011   22.1   0.0   2.6   3   0   0   3   3   0   0 AAA domain, putative AbiEii toxin, Type IV TA system
DciA                 PF05258.12 MT_RS00020           -            1.2e-23   83.3   1.2   1.9e-23   82.7   1.2   1.3   1   0   0   1   1   1   1 Dna[CI] antecedent, DciA
DNA_gyraseB          PF00204.25 MT_RS00025           -            4.1e-64  215.2   2.2     8e-64  214.3   2.2   1.5   1   0   0   1   1   1   1 DNA gyrase B
DNA_gyraseB_C        PF00986.21 MT_RS00025           -            2.7e-26   91.5   0.0   5.7e-26   90.5   0.0   1.6   1   0   0   1   1   1   1 DNA gyrase B subunit, carboxyl terminus
HATPase_c            PF02518.26 MT_RS00025           -            1.5e-20   73.7   0.0   4.3e-20   72.3   0.0   1.8   1   0   0   1   1   1   1 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
Toprim               PF01751.22 MT_RS00025           -            3.8e-16   59.2   0.0   1.4e-15   57.3   0.0   2.0   2   0   0   2   2   1   1 Toprim domain
DNA_topoisoIV        PF00521.20 MT_RS00030           -           2.2e-147  491.4   0.0  2.8e-147  491.1   0.0   1.1   1   0   0   1   1   1   1 DNA gyrase/topoisomerase IV, subunit A
DNA_gyraseA_C        PF03989.13 MT_RS00030           -              3e-70  231.5  12.9   4.7e-12   45.2   0.1   6.4   6   0   0   6   6   6   6 DNA gyrase C-terminal domain, beta-propeller
DUF3566              PF12089.8  MT_RS00035           -            4.5e-41  139.9   6.5   5.6e-41  139.6   6.5   1.1   1   0   0   1   1   1   1 Transmembrane domain of unknown function (DUF3566)
CwsA                 PF10814.8  MT_RS00055           -            8.5e-66  220.1   6.9   9.6e-66  219.9   6.9   1.0   1   0   0   1   1   1   1 Cell wall synthesis protein CwsA
Pro_isomerase        PF00160.21 MT_RS00060           -            3.3e-48  163.9   0.1   3.7e-48  163.8   0.1   1.0   1   0   0   1   1   1   1 Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
bPH_6                PF10756.9  MT_RS00065           -            3.7e-22   78.2   1.2   5.8e-22   77.6   1.2   1.3   1   0   0   1   1   1   1 Bacterial PH domain
CrgA                 PF06781.12 MT_RS00070           -            2.1e-29  101.4   4.4   2.3e-29  101.3   4.4   1.0   1   0   0   1   1   1   1 Cell division protein CrgA
DUF881               PF05949.12 MT_RS00075           -            1.7e-37  128.5   0.0   2.6e-37  127.9   0.0   1.3   1   0   0   1   1   1   1 Bacterial protein of unknown function (DUF881)
GATase               PF00117.28 MT_RS00080           -            1.4e-48  165.2   0.0   1.8e-48  164.8   0.0   1.0   1   0   0   1   1   1   1 Glutamine amidotransferase class-I
Peptidase_C26        PF07722.13 MT_RS00080           -            3.3e-12   46.6   0.1   1.9e-11   44.1   0.1   2.0   1   1   0   1   1   1   1 Peptidase C26
PASTA                PF03793.19 MT_RS00085           -            9.5e-54  179.1   9.0   4.2e-17   61.7   0.4   4.3   4   0   0   4   4   4   4 PASTA domain
Pkinase              PF00069.25 MT_RS00085           -            1.2e-50  172.3   0.0   1.6e-50  171.9   0.0   1.1   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.17 MT_RS00085           -            1.5e-35  122.7   0.0   2.1e-35  122.3   0.0   1.1   1   0   0   1   1   1   1 Protein tyrosine kinase
APH                  PF01636.23 MT_RS00085           -            1.4e-06   28.5   2.0     0.013   15.4   0.0   2.7   2   1   1   3   3   0   0 Phosphotransferase enzyme family
Pkinase              PF00069.25 MT_RS00090           -            1.7e-46  158.8   0.0   2.2e-46  158.3   0.0   1.1   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.17 MT_RS00090           -            2.1e-32  112.5   0.0   2.8e-32  112.0   0.0   1.1   1   0   0   1   1   1   1 Protein tyrosine kinase
APH                  PF01636.23 MT_RS00090           -            2.3e-06   27.7   0.1    0.0003   20.8   0.0   2.5   1   1   1   2   2   0   0 Phosphotransferase enzyme family
Kdo                  PF06293.14 MT_RS00090           -            8.4e-06   25.3   0.0   1.2e-05   24.8   0.0   1.1   1   0   0   1   1   1   1 Lipopolysaccharide kinase (Kdo/WaaP) family
Transpeptidase       PF00905.22 MT_RS00095           -            1.2e-75  254.6   0.0   1.4e-75  254.3   0.0   1.1   1   0   0   1   1   1   1 Penicillin binding protein transpeptidase domain
FTSW_RODA_SPOVE      PF01098.19 MT_RS00100           -           3.6e-105  351.9  17.3  5.9e-105  351.2  17.3   1.3   1   0   0   1   1   1   1 Cell cycle protein
PP2C_2               PF13672.6  MT_RS00105           -            1.3e-13   51.1   0.4   2.2e-13   50.4   0.4   1.2   1   0   0   1   1   1   1 Protein phosphatase 2C
PP2C                 PF00481.21 MT_RS00105           -            8.2e-08   32.2   0.0     7e-06   25.9   0.0   2.1   2   0   0   2   2   1   1 Protein phosphatase 2C
Yop-YscD_cpl         PF16697.5  MT_RS00110           -            2.5e-16   59.7   0.0   3.2e-16   59.4   0.0   1.1   1   0   0   1   1   1   1 Inner membrane component of T3SS, cytoplasmic domain
FHA                  PF00498.26 MT_RS00110           -            2.2e-15   56.7   0.0   3.4e-15   56.1   0.0   1.3   1   0   0   1   1   1   1 FHA domain
DUF3662              PF12401.8  MT_RS00115           -            9.1e-35  119.5   0.0   1.3e-34  119.0   0.0   1.2   1   0   0   1   1   1   1 Protein of unknown function (DUF2662)
FHA                  PF00498.26 MT_RS00115           -            1.2e-16   60.8   0.0     2e-16   60.1   0.0   1.4   1   0   0   1   1   1   1 FHA domain
Yop-YscD_cpl         PF16697.5  MT_RS00115           -            2.3e-14   53.5   0.1   3.6e-14   52.9   0.1   1.3   1   0   0   1   1   1   1 Inner membrane component of T3SS, cytoplasmic domain
NMO                  PF03060.15 MT_RS00125           -            2.8e-40  138.7   7.2   4.7e-30  105.1   1.2   2.2   2   0   0   2   2   2   2 Nitronate monooxygenase
IMPDH                PF00478.25 MT_RS00125           -            8.7e-11   41.4   4.1   6.2e-05   22.2   0.0   2.5   2   1   0   2   2   0   0 IMP dehydrogenase / GMP reductase domain
FMN_dh               PF01070.18 MT_RS00125           -            5.1e-08   32.3   4.5   8.4e-08   31.6   4.5   1.3   1   0   0   1   1   1   1 FMN-dependent dehydrogenase
Whib                 PF02467.16 MT_RS00130           -            2.7e-13   50.3   1.6     4e-13   49.8   1.6   1.2   1   0   0   1   1   1   1 Transcription factor WhiB
HTH_3                PF01381.22 MT_RS00135           -            1.5e-11   44.1   0.0   1.3e-10   41.1   0.0   2.2   1   1   1   2   2   1   1 Helix-turn-helix
HTH_31               PF13560.6  MT_RS00135           -            6.8e-11   42.4   5.7   1.4e-09   38.1   0.5   2.7   2   1   0   2   2   1   1 Helix-turn-helix domain
